id,name,title,role,photo,xUrl,linkedinUrl,order,createdAt,updatedAt
cmmzug3jm0009gsv8i4ubui4q,Lucy Hargreaves,Founder & CEO,CORE,/uploads/1774068275653-e3v3rn.jpeg,https://x.com/lucyhargreaves4,https://www.linkedin.com/in/lucyghargreaves/,0,Sat Mar 21 2026 00:44:37 GMT-0400 (Eastern Daylight Time),Sat Mar 21 2026 10:11:53 GMT-0400 (Eastern Daylight Time)
cmmwaj4wz0001tbv8njz322rc,Zander Fraser,Head of Content,CORE,/uploads/1774068673285-ypy4po.jpeg,https://x.com/zandertoo,https://linkedin.com/in/zmfraser,1,Wed Mar 18 2026 13:03:48 GMT-0400 (Eastern Daylight Time),Sat Mar 21 2026 00:51:15 GMT-0400 (Eastern Daylight Time)
cmmzuf5vv0008gsv8smbdn5nw,Macoy Jackson,Head of Operations,CORE,/uploads/1774068231868-t6eytd.webp,https://x.com/macoy_jackson,https://www.linkedin.com/in/macoyjackson/,1,Sat Mar 21 2026 00:43:53 GMT-0400 (Eastern Daylight Time),Sat Mar 21 2026 10:12:14 GMT-0400 (Eastern Daylight Time)
cmmzujsl4000cgsv88tux4lkb,Brendan Samek,Head of Engineering,CORE,/uploads/1774068457573-y7ivqm.jpeg,https://x.com/brendan_samek,https://www.linkedin.com/in/brendan-samek/,1,Sat Mar 21 2026 00:47:29 GMT-0400 (Eastern Daylight Time),Sat Mar 21 2026 10:12:43 GMT-0400 (Eastern Daylight Time)
cmmzugyeh000agsv81blmi1w1,Luke Farag,Socials Lead,CORE,/uploads/1774068315695-p7v88m.webp,https://x.com/LukeFarag,https://www.linkedin.com/in/lukefarag/,2,Sat Mar 21 2026 00:45:17 GMT-0400 (Eastern Daylight Time),Sat Mar 21 2026 10:13:01 GMT-0400 (Eastern Daylight Time)
cmmzuhssp000bgsv8rh9s410n,Clara de Oliveira Borba,Policy Assistant,CORE,/uploads/1774068355554-q0mu54.webp,,https://www.linkedin.com/in/claradeoliveiraborba/,3,Sat Mar 21 2026 00:45:56 GMT-0400 (Eastern Daylight Time),Sat Mar 21 2026 10:13:19 GMT-0400 (Eastern Daylight Time)
